id,user_msg,processed_intent,processed_class,processed_attributes,processed_filter_attributes,expected_intent,expected_class,expected_attributes,expected_filter_attributes,evaluation1_error_type,evaluation2_error_type,evaluation2_error_description
1,"add student with name=anderson martins gomes, age=20",ADD,student,"{""name"": ""Anderson Martins Gomes"", ""age"": ""20""}",,ADD,student,"{""name"": ""Anderson Martins Gomes"", ""age"": ""20""}",,,assertion,"'student' != 'none'
- student
+ none
 : entity class not correct.
processed_class=None
expected_class=student
user_msg: add student with name=anderson martins gomes, age=20"
2,ok,CONFIRMATION,,,,CONFIRMATION,,,,,,
3,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{""name"": ""Brazilian History"", ""description"": ""The history of Brazil""}",,ADD,subject,"{""name"": ""Brazilian History"", ""description"": ""The history of Brazil""}",,,assertion,"'subject' != 'greeting'
- subject
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=subject
user_msg: add subject with name=brazilian history, description=the history of brazil"
4,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{""name"": ""Paulo Henrique"", ""age"": ""65"", ""email"": ""ph@uece.br""}",,ADD,teacher,"{""name"": ""Paulo Henrique"", ""age"": ""65"", ""email"": ""ph@uece.br""}",,,assertion,"'teacher' != 'greeting'
- teacher
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=teacher
user_msg: add teacher with name=paulo henrique, age=65, email=ph@uece.br"
5,"add subject with name=math, description=the best subject ever",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever""}",,ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever""}",,,assertion,"'subject' != 'greeting'
- subject
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=subject
user_msg: add subject with name=math, description=the best subject ever"
6,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever!""}",,ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever!""}",,,assertion,"'subject' != 'greeting'
- subject
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=subject
user_msg: add subject with name=math, description='the best subject ever!'"
7,bye,GOODBYE,,,,GOODBYE,,,,,,
8,i wanna say bye!,GOODBYE,,,,GOODBYE,,,,,assertion,"<Intent.GOODBYE: 'GOODBYE'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = GOODBYE
user_msg: i wanna say bye!"
9,ok. bye bye!,GOODBYE,,,,GOODBYE,,,,,assertion,"<Intent.GOODBYE: 'GOODBYE'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = GOODBYE
user_msg: ok. bye bye!"
10,add student name=anderson,ADD,student,"{""name"": ""Anderson""}",,ADD,student,"{""name"": ""Anderson""}",,,assertion,"'student' != 'none'
- student
+ none
 : entity class not correct.
processed_class=None
expected_class=student
user_msg: add student name=anderson"
11,cancel,CANCELLATION,,,,CANCELLATION,,,,,,
12,bla bla bla,MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: bla bla bla"
13,"please, cancel",CANCELLATION,,,,CANCELLATION,,,,,,
14,get students with name anderson,READ,student,"{""name"": ""anderson""}",,READ,student,"{""name"": ""anderson""}",,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: get students with name anderson"
15,show me the teachers,READ,teacher,,,READ,teacher,,,,assertion,"'teacher' != 'greeting'
- teacher
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=teacher
user_msg: show me the teachers"
16,show teachers,READ,teacher,,,READ,teacher,,,,assertion,"'teacher' != 'greeting'
- teacher
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=teacher
user_msg: show teachers"
17,show teacher,READ,teacher,,,READ,teacher,,,,assertion,"<Intent.READ: 'READ'> != <Intent.MEANINGLESS: 'MEANINGLESS'> : intent not correct.
processed_intent = MEANINGLESS
expected_intent = READ
user_msg: show teacher"
18,123456789133 $%^&*(),MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: 123456789133 $%^&*()"
19,"please, the god is god!",MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: please, the god is god!"
20,crazy message 12334,MEANINGLESS,,,,MEANINGLESS,,,,,,
